user-definedlabeln,Attention,Mediation,Raw,Delta,Theta,Alpha1,Alpha2,Beta1,Beta2,Gamma1,Gamma2
0.0,67.0,41.0,-10.0,174330.0,25241.0,18449.0,1523.0,4263.0,4709.0,9467.0,3569.0
1.0,64.0,24.0,12.0,3740.0,15725.0,4214.0,4204.0,7486.0,13995.0,5697.0,6594.0
1.0,48.0,54.0,35.0,1134527.0,322554.0,40127.0,24056.0,28378.0,11237.0,8931.0,6413.0
0.0,60.0,41.0,3.0,243038.0,39392.0,8171.0,9417.0,8957.0,9526.0,5034.0,3825.0
1.0,0.0,0.0,786.0,617877.0,555455.0,359389.0,159610.0,181233.0,118732.0,66243.0,106972.0
0.0,56.0,47.0,29.0,2009.0,8524.0,1062.0,818.0,1077.0,3070.0,1816.0,2012.0
0.0,0.0,0.0,82.0,35169.0,8241.0,1598.0,981.0,866.0,19781.0,386.0,118.0
1.0,51.0,50.0,-53.0,1019187.0,140418.0,79729.0,29890.0,27966.0,20911.0,10297.0,11190.0
0.0,43.0,56.0,53.0,301421.0,64006.0,11694.0,10147.0,7325.0,5107.0,3003.0,1087.0
0.0,70.0,47.0,-2.0,963784.0,53288.0,7072.0,5265.0,14225.0,12660.0,1228.0,2252.0
1.0,50.0,50.0,10.0,399558.0,111967.0,57549.0,32296.0,40857.0,76961.0,71725.0,18760.0
0.0,74.0,47.0,151.0,314623.0,94347.0,50735.0,5552.0,12776.0,26266.0,16542.0,6675.0
1.0,38.0,63.0,89.0,1133215.0,87200.0,11205.0,5777.0,12632.0,4330.0,3052.0,1110.0
0.0,53.0,77.0,55.0,5366.0,11552.0,6743.0,9909.0,5946.0,2914.0,1754.0,1341.0
0.0,84.0,57.0,36.0,30242.0,10516.0,36655.0,6009.0,22692.0,11119.0,16045.0,10462.0
1.0,35.0,43.0,3.0,2063464.0,71188.0,12117.0,13877.0,17775.0,4402.0,7806.0,5325.0
0.0,66.0,34.0,4.0,32081.0,26243.0,7348.0,11808.0,9288.0,69156.0,15883.0,35519.0
0.0,27.0,77.0,153.0,970549.0,95643.0,63643.0,8459.0,8172.0,12618.0,3940.0,874.0
0.0,60.0,69.0,381.0,1930146.0,232797.0,83363.0,77049.0,24381.0,42666.0,44365.0,8985.0
0.0,27.0,50.0,-36.0,1159157.0,65121.0,10247.0,13821.0,7760.0,16883.0,12736.0,818.0
1.0,23.0,61.0,73.0,1439694.0,309121.0,55817.0,23066.0,41376.0,29896.0,15334.0,22579.0
1.0,44.0,54.0,36.0,390957.0,11428.0,4950.0,2174.0,7661.0,970.0,2692.0,1345.0
0.0,70.0,94.0,35.0,9778.0,23749.0,3889.0,10623.0,3555.0,4231.0,2097.0,2278.0
1.0,66.0,38.0,74.0,934051.0,100691.0,3936.0,8641.0,27498.0,22761.0,20938.0,4349.0
1.0,50.0,51.0,13.0,23999.0,18191.0,21338.0,18907.0,24472.0,30977.0,18149.0,9054.0
0.0,27.0,44.0,-13.0,228640.0,148770.0,58332.0,11313.0,18084.0,43128.0,30923.0,21837.0
1.0,20.0,47.0,42.0,1251511.0,182765.0,26015.0,35911.0,50490.0,15943.0,3078.0,4785.0
1.0,21.0,60.0,101.0,445777.0,431595.0,162875.0,27612.0,21149.0,32585.0,23756.0,28700.0
1.0,17.0,63.0,-3.0,492904.0,87736.0,12774.0,10506.0,12417.0,2242.0,4443.0,4223.0
1.0,35.0,54.0,56.0,100027.0,287467.0,16240.0,60596.0,19576.0,34222.0,20581.0,12120.0
0.0,47.0,38.0,-9.0,526977.0,69083.0,17090.0,9624.0,24451.0,12301.0,4609.0,3362.0
0.0,60.0,70.0,-241.0,69291.0,58523.0,79125.0,17002.0,42507.0,24155.0,11848.0,3809.0
0.0,44.0,78.0,71.0,1223.0,2013.0,2175.0,4260.0,1393.0,3096.0,5310.0,1501.0
1.0,64.0,87.0,19.0,9168.0,10288.0,12458.0,3618.0,2974.0,12750.0,2431.0,2540.0
1.0,53.0,56.0,-213.0,1248854.0,311983.0,251976.0,89379.0,170038.0,35514.0,81924.0,47498.0
0.0,47.0,57.0,0.0,1454611.0,164170.0,75506.0,25401.0,22492.0,20569.0,39028.0,10442.0
0.0,54.0,51.0,68.0,265174.0,107461.0,6247.0,26374.0,9105.0,21364.0,11292.0,6258.0
1.0,43.0,66.0,-39.0,838322.0,50389.0,5928.0,9663.0,3969.0,3035.0,1613.0,686.0
0.0,40.0,63.0,48.0,5689.0,33640.0,15866.0,5485.0,9382.0,5689.0,4865.0,1990.0
0.0,0.0,0.0,-2048.0,709206.0,165375.0,28670.0,5276.0,14382.0,30883.0,32064.0,20909.0
0.0,67.0,88.0,98.0,63663.0,49218.0,60018.0,14454.0,14679.0,10745.0,5870.0,6010.0
0.0,44.0,54.0,-97.0,203331.0,91294.0,18336.0,5866.0,11917.0,18197.0,16300.0,15998.0
1.0,35.0,60.0,20.0,108557.0,20055.0,2915.0,2808.0,2045.0,3989.0,5545.0,2442.0
1.0,38.0,53.0,44.0,1859121.0,782574.0,78137.0,40380.0,60450.0,38941.0,73989.0,26757.0
1.0,37.0,47.0,35.0,306781.0,288513.0,53009.0,7121.0,10269.0,2704.0,1813.0,2770.0
1.0,38.0,74.0,52.0,350254.0,162015.0,57185.0,33185.0,109372.0,9558.0,6855.0,2809.0
0.0,60.0,38.0,-35.0,366152.0,49090.0,5060.0,11416.0,16877.0,59180.0,53847.0,6986.0
0.0,53.0,70.0,-1.0,6822.0,10510.0,4799.0,9163.0,2748.0,5381.0,3961.0,1870.0
1.0,29.0,54.0,-91.0,231817.0,88326.0,5447.0,11785.0,7820.0,2595.0,1812.0,1006.0
0.0,57.0,56.0,56.0,2104458.0,124687.0,44326.0,36433.0,11621.0,15186.0,14363.0,6760.0
0.0,35.0,64.0,-45.0,85226.0,26388.0,4895.0,2784.0,1844.0,2828.0,2244.0,1370.0
1.0,29.0,57.0,-152.0,733449.0,223507.0,16360.0,198928.0,27676.0,78967.0,81214.0,21131.0
1.0,21.0,40.0,-53.0,568271.0,286558.0,17619.0,16221.0,57223.0,43013.0,18758.0,13533.0
0.0,67.0,43.0,5.0,1385572.0,80297.0,12735.0,10531.0,20476.0,6577.0,6792.0,1828.0
1.0,29.0,69.0,120.0,556693.0,101400.0,37882.0,48855.0,37407.0,9533.0,4789.0,4486.0
0.0,69.0,87.0,13.0,5571.0,4393.0,17407.0,14972.0,13725.0,4745.0,6340.0,2457.0
1.0,20.0,54.0,70.0,1016171.0,179186.0,102697.0,11740.0,19850.0,5894.0,3124.0,2661.0
1.0,41.0,74.0,92.0,1145775.0,167926.0,96543.0,20748.0,10690.0,24927.0,7760.0,4826.0
1.0,29.0,63.0,-9.0,1685332.0,216348.0,174691.0,6651.0,19888.0,46894.0,70018.0,34825.0
0.0,66.0,64.0,-44.0,35972.0,18183.0,13538.0,10472.0,14027.0,15732.0,6407.0,7136.0
0.0,69.0,41.0,22.0,14304.0,32706.0,965.0,9011.0,18883.0,37493.0,10556.0,22237.0
0.0,60.0,64.0,12.0,5744.0,7457.0,8406.0,10539.0,13172.0,9141.0,8808.0,4333.0
1.0,60.0,47.0,-57.0,1388891.0,63516.0,27017.0,16323.0,11236.0,20848.0,6127.0,2946.0
1.0,24.0,53.0,-76.0,785652.0,103886.0,18138.0,44839.0,9139.0,51184.0,44972.0,1136.0
0.0,51.0,56.0,-25.0,526259.0,65466.0,26480.0,40231.0,7209.0,11808.0,10682.0,14545.0
1.0,0.0,0.0,167.0,1526441.0,64738.0,38392.0,49616.0,12815.0,17916.0,12894.0,2882.0
0.0,77.0,43.0,269.0,3353519.0,123759.0,26948.0,33652.0,26425.0,18697.0,21934.0,1930.0
0.0,0.0,0.0,-1812.0,781500.0,72836.0,7316.0,6695.0,18665.0,18063.0,12513.0,8522.0
1.0,4.0,44.0,112.0,41139.0,167461.0,32726.0,23286.0,5108.0,9748.0,13099.0,7304.0
1.0,37.0,30.0,-36.0,543643.0,322672.0,11793.0,33737.0,41082.0,12412.0,4247.0,4464.0
1.0,0.0,0.0,-2048.0,1536259.0,71433.0,210388.0,247230.0,127582.0,136482.0,72816.0,113473.0
0.0,37.0,78.0,50.0,60817.0,56081.0,55690.0,20922.0,18523.0,22312.0,23406.0,11327.0
1.0,43.0,34.0,45.0,613474.0,20441.0,1935.0,1146.0,2173.0,2666.0,1059.0,1493.0
0.0,66.0,44.0,33.0,17445.0,9497.0,4687.0,1951.0,5907.0,3991.0,1987.0,1934.0
1.0,43.0,64.0,256.0,609043.0,34588.0,3102.0,15180.0,3411.0,8197.0,5048.0,4241.0
1.0,54.0,35.0,2.0,13204.0,11600.0,20708.0,4103.0,15874.0,18996.0,3777.0,10597.0
1.0,40.0,51.0,18.0,463941.0,129013.0,38469.0,11180.0,6151.0,18303.0,7075.0,10548.0
0.0,57.0,50.0,53.0,349601.0,104400.0,25953.0,43163.0,25130.0,31417.0,84169.0,14154.0
1.0,61.0,43.0,137.0,614814.0,25974.0,11018.0,1813.0,812.0,4983.0,3099.0,1226.0
1.0,0.0,0.0,2047.0,1293369.0,308707.0,23835.0,33809.0,57203.0,145326.0,189336.0,59878.0
1.0,44.0,83.0,102.0,1374465.0,52958.0,75114.0,29230.0,60051.0,11777.0,5530.0,6920.0
1.0,21.0,24.0,134.0,2156888.0,502600.0,663125.0,126091.0,130802.0,93418.0,67891.0,19259.0
1.0,67.0,70.0,76.0,1195258.0,64151.0,29175.0,41807.0,12089.0,33688.0,6741.0,2857.0
1.0,20.0,63.0,43.0,66840.0,16472.0,17032.0,3941.0,10438.0,4717.0,4431.0,4138.0
0.0,44.0,50.0,-36.0,16653.0,31500.0,8302.0,3260.0,7720.0,6063.0,2173.0,2264.0
1.0,74.0,61.0,136.0,1117050.0,122723.0,82353.0,44884.0,30761.0,36298.0,13349.0,4268.0
1.0,29.0,56.0,-314.0,2089230.0,386249.0,133655.0,41479.0,143356.0,80649.0,42966.0,7543.0
1.0,0.0,0.0,1992.0,961167.0,313904.0,99947.0,253649.0,76892.0,322078.0,40695.0,147242.0
1.0,8.0,54.0,316.0,285167.0,126992.0,19006.0,73757.0,8339.0,15554.0,14371.0,2947.0
0.0,0.0,0.0,-2048.0,53990.0,33318.0,1250.0,3346.0,14294.0,3842.0,4372.0,4778.0
1.0,40.0,56.0,36.0,686831.0,52090.0,19473.0,24607.0,8520.0,8202.0,2777.0,4104.0
1.0,21.0,56.0,-249.0,434598.0,184948.0,28911.0,20247.0,5567.0,21851.0,29475.0,3008.0
0.0,83.0,54.0,37.0,11727.0,3986.0,40236.0,19826.0,36201.0,8952.0,4057.0,6256.0
0.0,41.0,78.0,59.0,2736.0,5965.0,5098.0,3041.0,4532.0,3830.0,3183.0,1231.0
0.0,0.0,0.0,10.0,2150151.0,366657.0,167910.0,42217.0,14870.0,45692.0,28089.0,2849.0
0.0,63.0,34.0,-115.0,400373.0,77882.0,8549.0,19149.0,22237.0,175338.0,8124.0,2073.0
1.0,26.0,57.0,-57.0,88895.0,10808.0,6364.0,2112.0,883.0,1374.0,727.0,975.0
1.0,21.0,57.0,123.0,603025.0,1402257.0,170432.0,121047.0,108696.0,74781.0,33871.0,9568.0
1.0,63.0,74.0,-183.0,339338.0,13943.0,23612.0,33809.0,21081.0,32428.0,29989.0,19847.0
0.0,35.0,77.0,50.0,6796.0,16295.0,8777.0,13287.0,4616.0,3856.0,1441.0,2641.0
0.0,64.0,47.0,-19.0,1189804.0,608055.0,15565.0,28006.0,17770.0,11398.0,7197.0,4799.0
0.0,16.0,51.0,-152.0,632798.0,15544.0,9648.0,21841.0,4060.0,10422.0,6540.0,1431.0
0.0,69.0,87.0,41.0,9626.0,4282.0,7480.0,722.0,1219.0,8293.0,2164.0,2117.0
0.0,41.0,47.0,12.0,169095.0,263744.0,14235.0,22145.0,30503.0,10025.0,5603.0,1766.0
0.0,69.0,43.0,43.0,324559.0,30060.0,12870.0,9964.0,5527.0,11518.0,4495.0,1367.0
0.0,0.0,0.0,2047.0,421530.0,218649.0,8307.0,34587.0,55908.0,308112.0,642433.0,105305.0
1.0,48.0,54.0,-65.0,301135.0,27941.0,6844.0,13453.0,2511.0,6066.0,2327.0,1825.0
0.0,57.0,84.0,34.0,639814.0,13964.0,7413.0,21104.0,5450.0,7704.0,4014.0,3638.0
0.0,43.0,57.0,246.0,148983.0,80165.0,9530.0,4390.0,8182.0,15819.0,16569.0,6515.0
1.0,40.0,77.0,36.0,1972314.0,1185675.0,19984.0,70400.0,37524.0,29498.0,11262.0,13299.0
0.0,75.0,74.0,284.0,226123.0,33368.0,12740.0,15980.0,9999.0,16015.0,6144.0,3198.0
1.0,26.0,57.0,91.0,570013.0,114221.0,15169.0,10537.0,7559.0,11602.0,7536.0,4489.0
0.0,0.0,0.0,-2048.0,100950.0,331585.0,16147.0,5923.0,69878.0,17180.0,16003.0,9986.0
0.0,81.0,63.0,-28.0,65509.0,26684.0,8011.0,41342.0,9564.0,54030.0,19583.0,13593.0
1.0,10.0,64.0,25.0,340228.0,41977.0,4630.0,7259.0,12486.0,6342.0,1623.0,6396.0
0.0,64.0,53.0,-138.0,354029.0,47159.0,13773.0,44461.0,23581.0,16330.0,6970.0,3169.0
1.0,43.0,37.0,119.0,544260.0,163218.0,23952.0,19120.0,4693.0,45154.0,142868.0,27578.0
0.0,48.0,63.0,358.0,795142.0,174185.0,127360.0,54032.0,18612.0,35510.0,31014.0,3592.0
0.0,66.0,67.0,83.0,58522.0,34479.0,9330.0,12182.0,3583.0,4526.0,2738.0,1699.0
1.0,20.0,40.0,69.0,378095.0,141659.0,140153.0,43936.0,8549.0,26909.0,18723.0,15915.0
1.0,48.0,47.0,36.0,1062360.0,213979.0,30251.0,93169.0,49064.0,97425.0,126365.0,5350.0
1.0,44.0,61.0,72.0,1139275.0,231657.0,65519.0,38654.0,14975.0,127949.0,66756.0,27807.0
1.0,23.0,61.0,29.0,499839.0,168599.0,8061.0,36232.0,52074.0,5616.0,4584.0,3101.0
0.0,0.0,0.0,2047.0,587390.0,79636.0,32874.0,25391.0,54134.0,177351.0,268388.0,125991.0
1.0,0.0,0.0,2047.0,1129214.0,445714.0,60122.0,68916.0,152202.0,116932.0,70943.0,132264.0
1.0,61.0,61.0,80.0,6173.0,19099.0,28169.0,25466.0,49413.0,24976.0,11363.0,5709.0
0.0,26.0,47.0,-295.0,350852.0,84922.0,19418.0,10105.0,5299.0,14142.0,14832.0,5130.0
1.0,47.0,80.0,7.0,1912224.0,140505.0,53167.0,8908.0,3591.0,6364.0,4883.0,2663.0
0.0,60.0,60.0,25.0,168852.0,80187.0,11959.0,10545.0,4120.0,16063.0,7936.0,1343.0
0.0,90.0,29.0,-749.0,1312143.0,53310.0,11695.0,43110.0,7076.0,166767.0,4279.0,2185.0
0.0,0.0,0.0,-2048.0,132067.0,86800.0,11022.0,10108.0,14706.0,42739.0,25256.0,12292.0
0.0,70.0,77.0,7.0,490649.0,62532.0,9818.0,20626.0,10038.0,4872.0,9355.0,2880.0
0.0,64.0,57.0,4.0,41294.0,23768.0,17672.0,6834.0,11757.0,23837.0,15384.0,14910.0
0.0,0.0,0.0,2047.0,2234973.0,211036.0,37436.0,181325.0,113769.0,62964.0,46948.0,57653.0
0.0,0.0,0.0,2047.0,890868.0,201113.0,172479.0,76248.0,77058.0,86499.0,195256.0,86046.0
1.0,44.0,53.0,56.0,1053939.0,266280.0,71173.0,13805.0,24311.0,7579.0,5908.0,1791.0
1.0,48.0,67.0,-56.0,1217677.0,100747.0,87591.0,35865.0,58126.0,36107.0,18908.0,4640.0
0.0,56.0,41.0,65.0,429105.0,159400.0,15906.0,16457.0,16794.0,35809.0,32167.0,24381.0
0.0,63.0,51.0,45.0,14452.0,20670.0,3440.0,4046.0,3219.0,4523.0,1012.0,1995.0
0.0,35.0,37.0,152.0,127020.0,26912.0,5836.0,3462.0,1687.0,3872.0,878.0,668.0
0.0,27.0,67.0,-35.0,133614.0,70068.0,48326.0,29646.0,10040.0,23977.0,6377.0,987.0
0.0,61.0,53.0,5.0,7573.0,8178.0,1696.0,9550.0,10492.0,3396.0,2994.0,4587.0
0.0,35.0,51.0,13.0,2312954.0,467477.0,49022.0,25644.0,38952.0,34662.0,23089.0,1686.0
1.0,34.0,26.0,91.0,854011.0,210397.0,7757.0,17965.0,49818.0,26366.0,14912.0,4713.0
1.0,30.0,38.0,6.0,2734722.0,230695.0,58622.0,34966.0,30023.0,17410.0,12892.0,6018.0
1.0,56.0,38.0,0.0,312049.0,48770.0,23301.0,1929.0,7633.0,57222.0,25699.0,9945.0
1.0,44.0,66.0,-20.0,476763.0,143415.0,23417.0,23098.0,34372.0,30458.0,9244.0,10073.0
0.0,74.0,69.0,0.0,44613.0,28089.0,13483.0,19913.0,18078.0,4884.0,6288.0,3409.0
0.0,44.0,70.0,8.0,4599.0,7090.0,4185.0,4068.0,4633.0,7098.0,3745.0,1007.0
